"StepId","RecordingId","ProcessId","TimeStamp","DurationSec","StepName","StepDescription","ApplicationProcessName","ApplicationParentWindowName","AutomationStep","NextStepId","label_EventName","label_EventId","Process_Name","Connectors"
0,"Recording_130","Process_41","2022-02-17T10:53:14",3,"Press button in window","PDF Converter Pro - Free - 1 running window in Quick Launch Bar","","","[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['PDF Converter Pro - Free - 1 running window']\n""]",2,"Go to the content conversion app","Event_590","conversionservice/wordonlinebusiness","Conversionservice"
1,"Recording_130","Process_41","2022-02-17T10:53:17",2,"Click UI element in window","List Item 'From PDF' in Window 'PDF  ...  RTF, XPS, Images'","CoollePDFConverter","PDF Converter Pro: OCR, PDF to Word, Spreedsheet, HTML, Text, RTF, XPS, Images","[""UIAutomation.Click Element: appmask['Window \\'PDF  ...  RTF, XPS, Images\\'']['List Item \\'From PDF\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 35 OffsetY: 6 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",3,"Go to the content conversion app","Event_590","conversionservice/wordonlinebusiness","Conversionservice"
2,"Recording_130","Process_41","2022-02-17T10:53:19",6,"Press button in window","Button 'Button' in Window 'PDF  ...  RTF, XPS, Images'","CoollePDFConverter","PDF Converter Pro: OCR, PDF to Word, Spreedsheet, HTML, Text, RTF, XPS, Images","[""UIAutomation.PressButton Button: appmask['Window \\'PDF  ...  RTF, XPS, Images\\'']['Button \\'Button\\'']\n""]",4," To convert the PDF format of covid-19 guideline, browse it in conversion tool","Event_591","conversionservice/wordonlinebusiness","Conversionservice"
3,"Recording_130","Process_41","2022-02-17T10:53:25",2,"Click UI element in window","Tree Item 'Documents (pinned)' in Window 'PDF  ...  RTF, XPS, Images'","CoollePDFConverter","PDF Converter Pro: OCR, PDF to Word, Spreedsheet, HTML, Text, RTF, XPS, Images","[""UIAutomation.Click Element: appmask['Window \\'PDF  ...  RTF, XPS, Images\\'']['Tree Item \\'Documents (pinned)\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 13 OffsetY: -1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",5," To convert the PDF format of covid-19 guideline, browse it in conversion tool","Event_591","conversionservice/wordonlinebusiness","Conversionservice"
4,"Recording_130","Process_41","2022-02-17T10:53:27",1,"Click UI element in window","Edit 'Name' in Window 'PDF  ...  RTF, XPS, Images'","CoollePDFConverter","PDF Converter Pro: OCR, PDF to Word, Spreedsheet, HTML, Text, RTF, XPS, Images","[""UIAutomation.Click Element: appmask['Window \\'PDF  ...  RTF, XPS, Images\\'']['Edit \\'Name\\''] ClickType: UIAutomation.ClickType.DoubleClick OffsetX: 13 OffsetY: -7 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomLeft\n""]",6," To convert the PDF format of covid-19 guideline, browse it in conversion tool","Event_591","conversionservice/wordonlinebusiness","Conversionservice"
5,"Recording_130","Process_41","2022-02-17T10:53:28",6,"Click UI element in window","Edit 'Name' 2 in Window 'PDF  ...  RTF, XPS, Images'","CoollePDFConverter","PDF Converter Pro: OCR, PDF to Word, Spreedsheet, HTML, Text, RTF, XPS, Images","[""UIAutomation.Click Element: appmask['Window \\'PDF  ...  RTF, XPS, Images\\'']['Edit \\'Name\\' 2'] ClickType: UIAutomation.ClickType.DoubleClick OffsetX: 15 OffsetY: -1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",7," To convert the PDF format of covid-19 guideline, browse it in conversion tool","Event_591","conversionservice/wordonlinebusiness","Conversionservice"
6,"Recording_130","Process_41","2022-02-17T10:53:34",1,"Press button in window","Button '...' in Window 'PDF  ...  RTF, XPS, Images'","CoollePDFConverter","PDF Converter Pro: OCR, PDF to Word, Spreedsheet, HTML, Text, RTF, XPS, Images","[""UIAutomation.PressButton Button: appmask['Window \\'PDF  ...  RTF, XPS, Images\\'']['Button \\'...\\'']\n""]",8,"Store the PDF format to word document","Event_592","conversionservice/wordonlinebusiness","Conversionservice"
7,"Recording_130","Process_41","2022-02-17T10:53:35",2,"Expand/collapse tree node in window","Tree Item 'This PC' in Window 'PDF  ...  RTF, XPS, Images'","CoollePDFConverter","PDF Converter Pro: OCR, PDF to Word, Spreedsheet, HTML, Text, RTF, XPS, Images","[""UIAutomation.ExpandCollapseTreeNode Control: appmask['Window \\'PDF  ...  RTF, XPS, Images\\'']['Tree Item \\'This PC\\''] Operation: UIAutomation.TreeNodeOperation.Expand\n""]",9,"Store the PDF format to word document","Event_592","conversionservice/wordonlinebusiness","Conversionservice"
8,"Recording_130","Process_41","2022-02-17T10:53:37",2,"Expand/collapse tree node in window","Tree Item 'Documents' in Window 'PDF  ...  RTF, XPS, Images'","CoollePDFConverter","PDF Converter Pro: OCR, PDF to Word, Spreedsheet, HTML, Text, RTF, XPS, Images","[""UIAutomation.ExpandCollapseTreeNode Control: appmask['Window \\'PDF  ...  RTF, XPS, Images\\'']['Tree Item \\'Documents\\''] Operation: UIAutomation.TreeNodeOperation.Expand\n""]",10,"Store the PDF format to word document","Event_592","conversionservice/wordonlinebusiness","Conversionservice"
9,"Recording_130","Process_41","2022-02-17T10:53:39",2,"Click UI element in window","Tree Item 'Documents' in Window 'PDF  ...  RTF, XPS, Images'","CoollePDFConverter","PDF Converter Pro: OCR, PDF to Word, Spreedsheet, HTML, Text, RTF, XPS, Images","[""UIAutomation.Click Element: appmask['Window \\'PDF  ...  RTF, XPS, Images\\'']['Tree Item \\'Documents\\''] ClickType: UIAutomation.ClickType.LeftClick\n""]",11,"Store the PDF format to word document","Event_592","conversionservice/wordonlinebusiness","Conversionservice"
10,"Recording_130","Process_41","2022-02-17T10:53:41",1,"Expand/collapse tree node in window","Tree Item 'Documents' in Window 'PDF  ...  RTF, XPS, Images'","CoollePDFConverter","PDF Converter Pro: OCR, PDF to Word, Spreedsheet, HTML, Text, RTF, XPS, Images","[""UIAutomation.ExpandCollapseTreeNode Control: appmask['Window \\'PDF  ...  RTF, XPS, Images\\'']['Tree Item \\'Documents\\''] Operation: UIAutomation.TreeNodeOperation.Collapse\n""]",12,"Store the PDF format to word document","Event_592","conversionservice/wordonlinebusiness","Conversionservice"
