"StepId","RecordingId","ProcessId","TimeStamp","DurationSec","StepName","StepDescription","ApplicationProcessName","ApplicationParentWindowName","AutomationStep","NextStepId","label_EventName","label_EventId","Process_Name","Connectors"
0,"Recording_57","Process_23",1646018194,"4","Press button in window","Button 'Type here to search' in TaskBar","","","[""UIAutomation.PressButton Button: appmask['TaskBar']['Button \\'Type here to search\\'']\n""]","2","Open the database","Event_285","sql/powerbi",""
1,"Recording_57","Process_23",1646018198,"10","Populate text field in window","Edit 'Search box' in Window 'Search'; Text:'sql'","SearchApp","Search","[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Search\\'']['Edit \\'Search box\\''] Text: 'sql' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]","3","Open the database","Event_285","sql/powerbi",""
2,"Recording_57","Process_23",1646018208,"5","Click UI element in window","List Item 'Microsoft  ...  to switch preview' in Window 'Search'","SearchApp","Search","[""UIAutomation.Click Element: appmask['Window \\'Search\\'']['List Item \\'Microsoft  ...  to switch preview\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 34 OffsetY: -2 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]","4","Open the database","Event_285","sql/powerbi",""
3,"Recording_57","Process_23",1646018213,"9","Click UI element in window","Pane 'VSSplash'","Ssms","","[""UIAutomation.Click Element: appmask['Pane \\'VSSplash\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 194 OffsetY: -40 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]","5","Open the database","Event_285","sql/powerbi",""
4,"Recording_57","Process_23",1646018222,"15","Press button in window","Button 'Connect' in Window 'Microsoft SQL Server Management Studio'","Ssms","Microsoft SQL Server Management Studio","[""UIAutomation.PressButton Button: appmask['Window \\'Microsoft SQL Server Management Studio\\'']['Button \\'Connect\\'']\n""]","6","Open the database","Event_285","sql/powerbi",""
5,"Recording_57","Process_23",1646018237,"6","Click UI element in window","Tree Item 'Databases' in Window 'Microsoft SQL Server Management Studio'","Ssms","Microsoft SQL Server Management Studio","[""UIAutomation.Click Element: appmask['Window \\'Microsoft SQL Server Management Studio\\'']['Tree Item \\'Databases\\''] ClickType: UIAutomation.ClickType.LeftClick\n""]","7","Open the database","Event_285","sql/powerbi",""
6,"Recording_57","Process_23",1646018243,"15","Click UI element in window","Tree Item 'sqlpowerbi' in Window 'Microsoft SQL Server Management Studio'","Ssms","Microsoft SQL Server Management Studio","[""UIAutomation.Click Element: appmask['Window \\'Microsoft SQL Server Management Studio\\'']['Tree Item \\'sqlpowerbi\\''] ClickType: UIAutomation.ClickType.RightClick OffsetX: 15 OffsetY: -2 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]","8","Open the database","Event_285","sql/powerbi",""
7,"Recording_57","Process_23",1646018258,"4","Click UI element in window","Tool Bar 'Context Menu' in Window 'Microsoft SQL Server Management Studio'","Ssms","Microsoft SQL Server Management Studio","[""UIAutomation.Click Element: appmask['Window \\'Microsoft SQL Server Management Studio\\'']['Tool Bar \\'Context Menu\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -49 OffsetY: -45 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleRight\n""]","9","Import the csv file in database","Event_286","sql/powerbi",""
8,"Recording_57","Process_23",1646018262,"6","Click UI element in window","Tool Bar 'TasksDropDown' in Window 'Microsoft SQL Server Management Studio'","Ssms","Microsoft SQL Server Management Studio","[""UIAutomation.Click Element: appmask['Window \\'Microsoft SQL Server Management Studio\\'']['Tool Bar \\'TasksDropDown\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 92 OffsetY: -58 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomLeft\n""]","10","Import the csv file in database","Event_286","sql/powerbi",""
9,"Recording_57","Process_23",1646018268,"17","Press button in window","UIAutomation.PressButtonButton:appmask['Window \'Import Flat File \'sqlpowerbi\'\'']['Button \'Next >\'']","","","[""UIAutomation.PressButton Button: appmask['Window \\'Import Flat File \\'sqlpowerbi\\'\\'']['Button \\'Next >\\'']\n""]","11","Import the csv file in database","Event_286","sql/powerbi",""
