"StepId","RecordingId","ProcessId","TimeStamp","DurationSec","StepName","StepDescription","ApplicationProcessName","ApplicationParentWindowName","AutomationStep","NextStepId","label_EventName","label_EventId","Process_Name","Connectors"
0,"Recording_47","Process_20",1646111369,"4","Press button in window","Skype in Quick Launch Bar","","","[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['Skype']\n""]","2"," Verify the message in messaging app","Event_228","teams/excelonlinebusiness/dynamicscrmonline",""
1,"Recording_47","Process_20",1646111373,"4","Press button in window","UIAutomation.PressButtonButton:appmask['Pane \'Skype [1]\'']['Button \'NameKUMAR  ...  AM, 1 new message, \'']","","","[""UIAutomation.PressButton Button: appmask['Pane \\'Skype [1]\\'']['Button \\'NameKUMAR  ...  AM, 1 new message, \\'']\n""]","3"," Verify the message in messaging app","Event_228","teams/excelonlinebusiness/dynamicscrmonline",""
2,"Recording_47","Process_20",1646111377,"3","Click UI element in window","UIAutomation.ClickElement:appmask['Pane \'Skype [1]\'']['Text \'Please add new  ...  on cloud storage.\'']ClickType:UIAutomation.ClickType.LeftClickOffsetX:-32OffsetY:-10MousePositionRelativeToElement:UIAutomation.RectangleEdgePoint.BottomCenter","","","[""UIAutomation.Click Element: appmask['Pane \\'Skype [1]\\'']['Text \\'Please add new  ...  on cloud storage.\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -32 OffsetY: -10 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomCenter\n""]","4"," Verify the message in messaging app","Event_228","teams/excelonlinebusiness/dynamicscrmonline",""
3,"Recording_47","Process_20",1646111380,"8","Click UI element in window","UIAutomation.ClickElement:appmask['Pane \'Skype [1]\'']['Group \'NameKUMAR  ...  sent at 10:38 AM.\'']ClickType:UIAutomation.ClickType.LeftClickOffsetX:-57OffsetY:-15MousePositionRelativeToElement:UIAutomation.RectangleEdgePoint.BottomCenter","","","[""UIAutomation.Click Element: appmask['Pane \\'Skype [1]\\'']['Group \\'NameKUMAR  ...  sent at 10:38 AM.\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -57 OffsetY: -15 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomCenter\n""]","5"," Verify the message in messaging app","Event_228","teams/excelonlinebusiness/dynamicscrmonline",""
4,"Recording_47","Process_20",1646111388,"3","Select menu option in window","Google Chrome - 2 running windows in Quick Launch Bar","","","[""UIAutomation.SelectMenuOption Control: appmask['Quick Launch Bar']['Google Chrome - 2 running windows']\n""]","6","Open the spreadsheet having new customer detail available on cloud storage","Event_229","teams/excelonlinebusiness/dynamicscrmonline",""
5,"Recording_47","Process_20",1646111391,"5","Click UI element in window","List Item 'New Tab - Google Chrome' in List 'Task Switcher'","","Task Switcher","[""UIAutomation.Click Element: appmask['List \\'Task Switcher\\'']['List Item \\'New Tab - Google Chrome\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 6 OffsetY: 24 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]","7","Open the spreadsheet having new customer detail available on cloud storage","Event_229","teams/excelonlinebusiness/dynamicscrmonline",""
6,"Recording_47","Process_20",1646111396,"3","Press button in window","Button 'SharePoint' in Pane 'New Tab - Google Chrome - Person 1'","chrome","New Tab - Google Chrome - Person 1","[""UIAutomation.PressButton Button: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Button \\'SharePoint\\'']\n""]","8","Open the spreadsheet having new customer detail available on cloud storage","Event_229","teams/excelonlinebusiness/dynamicscrmonline",""
7,"Recording_47","Process_20",1646111399,"5","Click UI element in window","Hyperlink 'Project RoadMap' in Pane 'New Tab - Google Chrome - Person 1'","chrome","New Tab - Google Chrome - Person 1","[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Hyperlink \\'Project RoadMap\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 92 OffsetY: 2 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]","9","Open the spreadsheet having new customer detail available on cloud storage","Event_229","teams/excelonlinebusiness/dynamicscrmonline",""
8,"Recording_47","Process_20",1646111404,"16","Click UI element in window","Hyperlink 'Documents' in Pane 'New Tab - Google Chrome - Person 1'","chrome","New Tab - Google Chrome - Person 1","[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Hyperlink \\'Documents\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -26 OffsetY: -2 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]","10","Open the spreadsheet having new customer detail available on cloud storage","Event_229","teams/excelonlinebusiness/dynamicscrmonline",""
9,"Recording_47","Process_20",1646111420,"3","Click UI element in window","Data Item 'New New  ...  people Show actions' in Pane 'New Tab - Google Chrome - Person 1'","chrome","New Tab - Google Chrome - Person 1","[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Data Item \\'New New  ...  people Show actions\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 18 OffsetY: -5 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomLeft\n""]","11","Open the spreadsheet having new customer detail available on cloud storage","Event_229","teams/excelonlinebusiness/dynamicscrmonline",""
10,"Recording_47","Process_20",1646111423,"10","Click UI element in window","Hyperlink 'New Employee Details.xlsx' in Pane 'New Tab - Google Chrome - Person 1'","chrome","New Tab - Google Chrome - Person 1","[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Hyperlink \\'New Employee Details.xlsx\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -65 OffsetY: 2 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]","12","Open the spreadsheet having new customer detail available on cloud storage","Event_229","teams/excelonlinebusiness/dynamicscrmonline",""
11,"Recording_47","Process_20",1646111433,"9","Drag and drop UI element in window","Image in Pane 'New Tab - Google Chrome - Person 1'","chrome","New Tab - Google Chrome - Person 1","[""UIAutomation.DragAndDropElement MouseDownOffsetY: 69 MouseDownOffsetX: 47 RectangleEdgePointForMouseDown: UIAutomation.RectangleEdgePoint.TopLeft ControlToDrag: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Image'] MouseUpOffsetY: 69 MouseUpOffsetX: 178 RectangleEdgePointForMouseUp: UIAutomation.RectangleEdgePoint.TopLeft ControlToDropOver: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Image'] ClickType: UIAutomation.DragAndDropClickType.LeftClick\n""]","13","Open the spreadsheet having new customer detail available on cloud storage","Event_229","teams/excelonlinebusiness/dynamicscrmonline",""
12,"Recording_47","Process_20",1646111442,"4","Click UI element in window","Button 'New Tab' in Pane 'New Tab - Google Chrome - Person 1'","chrome","New Tab - Google Chrome - Person 1","[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Button \\'New Tab\\''] ClickType: UIAutomation.ClickType.LeftButtonUp OffsetX: -2 OffsetY: 1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]","14","Go to crm tool","Event_230","teams/excelonlinebusiness/dynamicscrmonline",""
13,"Recording_47","Process_20",1646111446,"9","Press button in window","Button 'Home Page - Zoho CRM' in Pane 'New Tab - Google Chrome - Person 1'","chrome","New Tab - Google Chrome - Person 1","[""UIAutomation.PressButton Button: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Button \\'Home Page - Zoho CRM\\'']\n""]","15","Go to crm tool","Event_230","teams/excelonlinebusiness/dynamicscrmonline",""
