"StepId","RecordingId","ProcessId","TimeStamp","DurationSec","StepName","StepDescription","ApplicationProcessName","ApplicationParentWindowName","AutomationStep","NextStepId","label_EventName","label_EventId","Process_Name","Connectors"
0,"Recording_22","Process_3",1645430967,"8","Press button in window","PDF Converter Pro - Free - 1 running window in Quick Launch Bar","","","[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['PDF Converter Pro - Free - 1 running window']\n""]","2","Go to the content conversion app","Event_101","sendmail/conversionservice/msnweather","Conversionservice"
1,"Recording_22","Process_3",1645430975,"4","Click UI element in window","List Item 'To PDF' in Window 'PDF  ...  RTF, XPS, Images'","CoollePDFConverter","PDF Converter Pro: OCR, PDF to Word, Spreedsheet, HTML, Text, RTF, XPS, Images","[""UIAutomation.Click Element: appmask['Window \\'PDF  ...  RTF, XPS, Images\\'']['List Item \\'To PDF\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 33 OffsetY: -12 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomLeft\n""]","3","Go to the content conversion app","Event_101","sendmail/conversionservice/msnweather","Conversionservice"
2,"Recording_22","Process_3",1645430979,"5","Press button in window","Button 'Button' in Window 'PDF  ...  RTF, XPS, Images'","CoollePDFConverter","PDF Converter Pro: OCR, PDF to Word, Spreedsheet, HTML, Text, RTF, XPS, Images","[""UIAutomation.PressButton Button: appmask['Window \\'PDF  ...  RTF, XPS, Images\\'']['Button \\'Button\\'']\n""]","4","Go to the content conversion app","Event_101","sendmail/conversionservice/msnweather","Conversionservice"
3,"Recording_22","Process_3",1645430984,"3","Press button in window","Button 'Button' 2 in Window 'PDF  ...  RTF, XPS, Images'","CoollePDFConverter","PDF Converter Pro: OCR, PDF to Word, Spreedsheet, HTML, Text, RTF, XPS, Images","[""UIAutomation.PressButton Button: appmask['Window \\'PDF  ...  RTF, XPS, Images\\'']['Button \\'Button\\' 2']\n""]","5","Open the brochure in conversion tool and convert it to PDF.","Event_102","sendmail/conversionservice/msnweather","Conversionservice"
4,"Recording_22","Process_3",1645430987,"11","Click UI element in window","Edit 'Name' in Window 'PDF  ...  RTF, XPS, Images'","CoollePDFConverter","PDF Converter Pro: OCR, PDF to Word, Spreedsheet, HTML, Text, RTF, XPS, Images","[""UIAutomation.Click Element: appmask['Window \\'PDF  ...  RTF, XPS, Images\\'']['Edit \\'Name\\''] ClickType: UIAutomation.ClickType.DoubleClick OffsetX: -2 OffsetY: 2 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]","6","Open the brochure in conversion tool and convert it to PDF.","Event_102","sendmail/conversionservice/msnweather","Conversionservice"
5,"Recording_22","Process_3",1645430998,"40","Press button in window","Button 'Button' 3 in Window 'PDF  ...  RTF, XPS, Images'","CoollePDFConverter","PDF Converter Pro: OCR, PDF to Word, Spreedsheet, HTML, Text, RTF, XPS, Images","[""UIAutomation.PressButton Button: appmask['Window \\'PDF  ...  RTF, XPS, Images\\'']['Button \\'Button\\' 3']\n""]","7","Open the brochure in conversion tool and convert it to PDF.","Event_102","sendmail/conversionservice/msnweather","Conversionservice"
6,"Recording_22","Process_3",1645431038,"2","Click UI element in window","UIAutomation.ClickElement:appmask['Window \'01_January\'22\'']['Edit \'Name\'']ClickType:UIAutomation.ClickType.LeftClickOffsetX:0OffsetY:-6MousePositionRelativeToElement:UIAutomation.RectangleEdgePoint.BottomCenter","","","[""UIAutomation.Click Element: appmask['Window \\'01_January\\'22\\'']['Edit \\'Name\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 0 OffsetY: -6 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomCenter\n""]","8","Open the brochure in conversion tool and convert it to PDF.","Event_102","sendmail/conversionservice/msnweather","Conversionservice"
7,"Recording_22","Process_3",1645431040,"6","Click UI element in window","UIAutomation.ClickElement:appmask['Window \'01_January\'22\'']['List \'Items View\'']ClickType:UIAutomation.ClickType.LeftClickOffsetX:-156OffsetY:-191MousePositionRelativeToElement:UIAutomation.RectangleEdgePoint.BottomCenter","","","[""UIAutomation.Click Element: appmask['Window \\'01_January\\'22\\'']['List \\'Items View\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -156 OffsetY: -191 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomCenter\n""]","9","Open the brochure in conversion tool and convert it to PDF.","Event_102","sendmail/conversionservice/msnweather","Conversionservice"
8,"Recording_22","Process_3",1645431046,"4","Select menu option in window","Google Chrome - 3 running windows in Quick Launch Bar","","","[""UIAutomation.SelectMenuOption Control: appmask['Quick Launch Bar']['Google Chrome - 3 running windows']\n""]","10","Verify the weather condition for desired demo date ","Event_103","sendmail/conversionservice/msnweather","Conversionservice"
9,"Recording_22","Process_3",1645431050,"2","Click UI element in window","List Item 'New Tab - Google Chrome' in List 'Task Switcher'","","Task Switcher","[""UIAutomation.Click Element: appmask['List \\'Task Switcher\\'']['List Item \\'New Tab - Google Chrome\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 8 OffsetY: 18 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopCenter\n""]","11","Verify the weather condition for desired demo date ","Event_103","sendmail/conversionservice/msnweather","msnweather"
