"StepId","RecordingId","ProcessId","TimeStamp","DurationSec","StepName","StepDescription","ApplicationProcessName","ApplicationParentWindowName","AutomationStep","NextStepId","label_EventName","label_EventId","Process_Name","Connectors"
0,"Recording_138","Process_26","2021-12-14T11:57:51",5,"Select menu option in window","Google Chrome - 2 running windows in Quick Launch Bar","","","[""UIAutomation.SelectMenuOption Control: appmask['Quick Launch Bar']['Google Chrome - 2 running windows']\n""]",2,"Open your task planning application.","Event_632","approvals/planner","Planner"
1,"Recording_138","Process_26","2021-12-14T11:57:56",2,"Click UI element in window","List Item 'Mail - NameSurname - Outlook - Google Chrome' in List 'Task Switcher'","","Task Switcher","[""UIAutomation.Click Element: appmask['List \\'Task Switcher\\'']['List Item \\'Mail - NameSurname - Outlook - Google Chrome\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 44 OffsetY: 3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",3,"Open your task planning application.","Event_632","approvals/planner","Planner"
2,"Recording_138","Process_26","2021-12-14T11:57:58",3,"Press button in window","Button 'New Tab' in Pane 'Mail - Name ...  Chrome - Person 1'","chrome","Mail - NameSurname - Outlook - Google Chrome - Person 1","[""UIAutomation.PressButton Button: appmask['Pane \\'Mail - Name ...  Chrome - Person 1\\'']['Button \\'New Tab\\'']\n""]",4,"Open your task planning application.","Event_632","approvals/planner","Planner"
3,"Recording_138","Process_26","2021-12-14T11:58:01",1,"Populate text field in window","Edit 'Address and search bar' in Pane 'Mail - Name ...  Chrome - Person 1'; Text:'O365'","chrome","Mail - NameSurname - Outlook - Google Chrome - Person 1","[""UIAutomation.PopulateTextField TextField: appmask['Pane \\'Mail - Name ...  Chrome - Person 1\\'']['Edit \\'Address and search bar\\''] Text: 'O365' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",5,"Open your task planning application.","Event_632","approvals/planner","Planner"
4,"Recording_138","Process_26","2021-12-14T11:58:02",3,"Send keys","TextToSend:'{Return}'","","","['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]",6,"Open your task planning application.","Event_632","approvals/planner","Planner"
5,"Recording_138","Process_26","2021-12-14T11:58:05",4,"Click UI element in window","Hyperlink ' Office  ... office.com' in Pane 'Mail - Name ...  Chrome - Person 1'","chrome","Mail - NameSurname - Outlook - Google Chrome - Person 1","[""UIAutomation.Click Element: appmask['Pane \\'Mail - Name ...  Chrome - Person 1\\'']['Hyperlink \\' Office  ... office.com\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 32 OffsetY: 9 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopCenter\n""]",7,"Open your task planning application.","Event_632","approvals/planner","Planner"
6,"Recording_138","Process_26","2021-12-14T11:58:09",4,"Click UI element in window","Hyperlink 'Planner' in Pane 'Mail - Name ...  Chrome - Person 1'","chrome","Mail - NameSurname - Outlook - Google Chrome - Person 1","[""UIAutomation.Click Element: appmask['Pane \\'Mail - Name ...  Chrome - Person 1\\'']['Hyperlink \\'Planner\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -2 OffsetY: -6 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",8,"Open your task planning application.","Event_632","approvals/planner","Planner"
7,"Recording_138","Process_26","2021-12-14T11:58:13",22,"Select menu option in window","Menu Item 'New plan' in Pane 'Mail - Name ...  Chrome - Person 1'","chrome","Mail - NameSurname - Outlook - Google Chrome - Person 1","[""UIAutomation.SelectMenuOption Control: appmask['Pane \\'Mail - Name ...  Chrome - Person 1\\'']['Menu Item \\'New plan\\'']\n""]",9,"Open your task planning application.","Event_632","approvals/planner","Planner"
8,"Recording_138","Process_26","2021-12-14T11:58:35",5,"Populate text field in window","Edit 'Plan name' in Pane 'Mail - Name ...  Chrome - Person 1'; Text:'Project alpha'","chrome","Mail - NameSurname - Outlook - Google Chrome - Person 1","[""UIAutomation.PopulateTextField TextField: appmask['Pane \\'Mail - Name ...  Chrome - Person 1\\'']['Edit \\'Plan name\\''] Text: 'Project alpha' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",10,"Open your task planning application.","Event_632","approvals/planner","Planner"
9,"Recording_138","Process_26","2021-12-14T11:58:40",5,"Press button in window","Button 'Choose a group for your plan' in Pane 'Mail - Name ...  Chrome - Person 1'","chrome","Mail - NameSurname - Outlook - Google Chrome - Person 1","[""UIAutomation.PressButton Button: appmask['Pane \\'Mail - Name ...  Chrome - Person 1\\'']['Button \\'\ue710Choose a group for your plan\\'']\n""]",11,"Open your task planning application.","Event_632","approvals/planner","Planner"
10,"Recording_138","Process_26","2021-12-14T11:58:45",1,"Click UI element in window","List Item 'Project RoadMap' in Pane 'Mail - Name ...  Chrome - Person 1'","chrome","Mail - NameSurname - Outlook - Google Chrome - Person 1","[""UIAutomation.Click Element: appmask['Pane \\'Mail - Name ...  Chrome - Person 1\\'']['List Item \\'Project RoadMap\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 62 OffsetY: -14 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomLeft\n""]",12,"Open your task planning application.","Event_632","approvals/planner","Planner"
11,"Recording_138","Process_26","2021-12-14T11:58:46",9,"Press button in window","Button 'Create plan' in Pane 'Mail - Name ...  Chrome - Person 1'","chrome","Mail - NameSurname - Outlook - Google Chrome - Person 1","[""UIAutomation.PressButton Button: appmask['Pane \\'Mail - Name ...  Chrome - Person 1\\'']['Button \\'Create plan\\'']\n""]",13,"Open your task planning application.","Event_632","approvals/planner","Planner"
12,"Recording_138","Process_26","2021-12-14T11:58:55",8,"Press button in window","Button 'Add task card in To do column' in Pane 'Mail - Name ...  Chrome - Person 1'","chrome","Mail - NameSurname - Outlook - Google Chrome - Person 1","[""UIAutomation.PressButton Button: appmask['Pane \\'Mail - Name ...  Chrome - Person 1\\'']['Button \\'Add task card in To do column\\'']\n""]",14,"Create and assign some tasks to your team members.","Event_633","approvals/planner","Planner"
13,"Recording_138","Process_26","2021-12-14T11:59:03",3,"Populate text field in window","Edit 'Task name' in Pane 'Mail - Name ...  Chrome - Person 1'; Text:'Share Guideline'","chrome","Mail - NameSurname - Outlook - Google Chrome - Person 1","[""UIAutomation.PopulateTextField TextField: appmask['Pane \\'Mail - Name ...  Chrome - Person 1\\'']['Edit \\'Task name\\''] Text: 'Share Guideline' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",15,"Create and assign some tasks to your team members.","Event_633","approvals/planner","Planner"
14,"Recording_138","Process_26","2021-12-14T11:59:06",3,"Press button in window","Button ' Set due date' in Pane 'Mail - Name ...  Chrome - Person 1'","chrome","Mail - NameSurname - Outlook - Google Chrome - Person 1","[""UIAutomation.PressButton Button: appmask['Pane \\'Mail - Name ...  Chrome - Person 1\\'']['Button \\'\ue787 Set due date\\'']\n""]",16,"Create and assign some tasks to your team members.","Event_633","approvals/planner","Planner"
