"StepId","RecordingId","ProcessId","TimeStamp","DurationSec","StepName","StepDescription","ApplicationProcessName","ApplicationParentWindowName","AutomationStep","NextStepId","label_EventName","label_EventId","Process_Name","Connectors"
0,"Recording_157","Process_26",1639480212,"2","Press button in window","Google Chrome - 1 running window in Quick Launch Bar","","","[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['Google Chrome - 1 running window']\n""]","2","Open your task planning application","Event_713","approvals/planner","Planner"
1,"Recording_157","Process_26",1639480214,"7","Press button in window","Button 'New Tab' in Pane 'TalentHub 2.0 - Google Chrome - Person 1'","chrome","TalentHub 2.0 - Google Chrome - Person 1","[""UIAutomation.PressButton Button: appmask['Pane \\'TalentHub 2.0 - Google Chrome - Person 1\\'']['Button \\'New Tab\\'']\n""]","3","Open your task planning application","Event_713","approvals/planner","Planner"
2,"Recording_157","Process_26",1639480221,"1","Populate text field in window","Edit 'Address and search bar' in Pane 'TalentHub 2.0 - Google Chrome - Person 1'; Text:'planner app'","chrome","TalentHub 2.0 - Google Chrome - Person 1","[""UIAutomation.PopulateTextField TextField: appmask['Pane \\'TalentHub 2.0 - Google Chrome - Person 1\\'']['Edit \\'Address and search bar\\''] Text: 'planner app' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]","4","Open your task planning application","Event_713","approvals/planner","Planner"
3,"Recording_157","Process_26",1639480222,"7","Send keys","TextToSend:'{Return}'","","","['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]","5","Open your task planning application","Event_713","approvals/planner","Planner"
4,"Recording_157","Process_26",1639480229,"5","Click UI element in window","Hyperlink ' Microsoft Planner https://tasks.office.com' in Pane 'TalentHub 2.0 - Google Chrome - Person 1'","chrome","TalentHub 2.0 - Google Chrome - Person 1","[""UIAutomation.Click Element: appmask['Pane \\'TalentHub 2.0 - Google Chrome - Person 1\\'']['Hyperlink \\' Microsoft Planner https://tasks.office.com\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 21 OffsetY: -10 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomCenter\n""]","6","Open your task planning application","Event_713","approvals/planner","Planner"
5,"Recording_157","Process_26",1639480234,"7","Select menu option in window","Menu Item 'New plan' in Pane 'TalentHub 2.0 - Google Chrome - Person 1'","chrome","TalentHub 2.0 - Google Chrome - Person 1","[""UIAutomation.SelectMenuOption Control: appmask['Pane \\'TalentHub 2.0 - Google Chrome - Person 1\\'']['Menu Item \\'New plan\\'']\n""]","7","Open your task planning application","Event_713","approvals/planner","Planner"
6,"Recording_157","Process_26",1639480241,"6","Populate text field in window","Edit 'Plan name' in Pane 'TalentHub 2.0 - Google Chrome - Person 1'; Text:'Project2'","chrome","TalentHub 2.0 - Google Chrome - Person 1","[""UIAutomation.PopulateTextField TextField: appmask['Pane \\'TalentHub 2.0 - Google Chrome - Person 1\\'']['Edit \\'Plan name\\''] Text: 'Project2' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]","8","Open your task planning application","Event_713","approvals/planner","Planner"
7,"Recording_157","Process_26",1639480247,"15","Press button in window","Button 'Choose a group for your plan' in Pane 'TalentHub 2.0 - Google Chrome - Person 1'","chrome","TalentHub 2.0 - Google Chrome - Person 1","[""UIAutomation.PressButton Button: appmask['Pane \\'TalentHub 2.0 - Google Chrome - Person 1\\'']['Button \\'\ue710Choose a group for your plan\\'']\n""]","9","Open your task planning application","Event_713","approvals/planner","Planner"
8,"Recording_157","Process_26",1639480262,"4","Click UI element in window","List Item 'Power Automate' in Pane 'TalentHub 2.0 - Google Chrome - Person 1'","chrome","TalentHub 2.0 - Google Chrome - Person 1","[""UIAutomation.Click Element: appmask['Pane \\'TalentHub 2.0 - Google Chrome - Person 1\\'']['List Item \\'Power Automate\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 49 OffsetY: -4 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]","10","Open your task planning application","Event_713","approvals/planner","Planner"
9,"Recording_157","Process_26",1639480266,"7","Press button in window","Button 'Create plan' in Pane 'TalentHub 2.0 - Google Chrome - Person 1'","chrome","TalentHub 2.0 - Google Chrome - Person 1","[""UIAutomation.PressButton Button: appmask['Pane \\'TalentHub 2.0 - Google Chrome - Person 1\\'']['Button \\'Create plan\\'']\n""]","11","Open your task planning application","Event_713","approvals/planner","Planner"
10,"Recording_157","Process_26",1639480273,"15","Press button in window","Button 'Add task card in To do column' in Pane 'TalentHub 2.0 - Google Chrome - Person 1'","chrome","TalentHub 2.0 - Google Chrome - Person 1","[""UIAutomation.PressButton Button: appmask['Pane \\'TalentHub 2.0 - Google Chrome - Person 1\\'']['Button \\'Add task card in To do column\\'']\n""]","12","Create and assign some tasks to your team members","Event_714","approvals/planner","Planner"
11,"Recording_157","Process_26",1639480288,"4","Populate text field in window","Edit 'Task name' in Pane 'TalentHub 2.0 - Google Chrome - Person 1'; Text:'Guideline Trainning'","chrome","TalentHub 2.0 - Google Chrome - Person 1","[""UIAutomation.PopulateTextField TextField: appmask['Pane \\'TalentHub 2.0 - Google Chrome - Person 1\\'']['Edit \\'Task name\\''] Text: 'Guideline Trainning' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]","13","Create and assign some tasks to your team members","Event_714","approvals/planner","Planner"
12,"Recording_157","Process_26",1639480292,"8","Press button in window","Button ' Set due date' in Pane 'TalentHub 2.0 - Google Chrome - Person 1'","chrome","TalentHub 2.0 - Google Chrome - Person 1","[""UIAutomation.PressButton Button: appmask['Pane \\'TalentHub 2.0 - Google Chrome - Person 1\\'']['Button \\'\ue787 Set due date\\'']\n""]","14","Create and assign some tasks to your team members","Event_714","approvals/planner","Planner"
13,"Recording_157","Process_26",1639480300,"5","Click UI element in window","Data Item 'December 20, 2021' in Pane 'TalentHub 2.0 - Google Chrome - Person 1'","chrome","TalentHub 2.0 - Google Chrome - Person 1","[""UIAutomation.Click Element: appmask['Pane \\'TalentHub 2.0 - Google Chrome - Person 1\\'']['Data Item \\'December 20, 2021\\''] ClickType: UIAutomation.ClickType.LeftButtonUp OffsetX: 7 OffsetY: 3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]","15","Create and assign some tasks to your team members","Event_714","approvals/planner","Planner"
