"StepId","RecordingId","ProcessId","TimeStamp","DurationSec","StepName","StepDescription","ApplicationProcessName","ApplicationParentWindowName","AutomationStep","NextStepId","label_EventName","label_EventId","Process_Name","Connectors"
0,"Recording_108","Process_42",1645095436,"3","Select menu option in window","Microsoft Edge (2) - 3 running windows in Quick Launch Bar","","","[""UIAutomation.SelectMenuOption Control: appmask['Quick Launch Bar']['Microsoft Edge (2) - 3 running windows']\n""]","2","Login to the company's active directory","Event_503","Office365users/Microsoftforms","Office365users"
1,"Recording_108","Process_42",1645095439,"12","Click UI element in window","List Item 'New tab  ...  - Microsoft​ Edge' in List 'Task Switcher'","","Task Switcher","[""UIAutomation.Click Element: appmask['List \\'Task Switcher\\'']['List Item \\'New tab  ...  - Microsoft\u200b Edge\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 65 OffsetY: -46 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomLeft\n""]","3","Login to the company's active directory","Event_503","Office365users/Microsoftforms","Office365users"
2,"Recording_108","Process_42",1645095451,"1","Populate text field in window","Edit 'Address and search bar' in Window 'New tab and  ...  - Microsoft​ Edge'; Text:'admin.microsoft.com'","msedge","New tab and 1 more page - [InPrivate] - Microsoft​ Edge","[""UIAutomation.PopulateTextField TextField: appmask['Window \\'New tab and  ...  - Microsoft\u200b Edge\\'']['Edit \\'Address and search bar\\''] Text: 'admin.microsoft.com' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]","4","Login to the company's active directory","Event_503","Office365users/Microsoftforms","Office365users"
3,"Recording_108","Process_42",1645095452,"6","Send keys","TextToSend:'{Return}'","","","['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]","5","Login to the company's active directory","Event_503","Office365users/Microsoftforms","Office365users"
4,"Recording_108","Process_42",1645095458,"2","Select menu option in window","Menu Item 'Users' in Window 'Microsoft  ...  - Microsoft​ Edge'","msedge","Microsoft 365 admin center and 1 more page - [InPrivate] - Microsoft​ Edge","[""UIAutomation.SelectMenuOption Control: appmask['Window \\'Microsoft  ...  - Microsoft\u200b Edge\\'']['Menu Item \\'Users\\'']\n""]","6","Add the new joinee","Event_504","Office365users/Microsoftforms","Office365users"
5,"Recording_108","Process_42",1645095460,"5","Select menu option in window","Menu Item 'Active users' in Window 'Microsoft  ...  - Microsoft​ Edge' 2","msedge","Microsoft 365 admin center - Home and 1 more page - [InPrivate] - Microsoft​ Edge","[""UIAutomation.SelectMenuOption Control: appmask['Window \\'Microsoft  ...  - Microsoft\u200b Edge\\' 2']['Menu Item \\'Active users\\'']\n""]","7","Add the new joinee","Event_504","Office365users/Microsoftforms","Office365users"
6,"Recording_108","Process_42",1645095465,"10","Select menu option in window","Menu Item 'Add a  ...  key to add a user' in Window 'Microsoft  ...  - Microsoft​ Edge' 3","msedge","Microsoft 365 admin center - Active users and 1 more page - [InPrivate] - Microsoft​ Edge","[""UIAutomation.SelectMenuOption Control: appmask['Window \\'Microsoft  ...  - Microsoft\u200b Edge\\' 3']['Menu Item \\'Add a  ...  key to add a user\\'']\n""]","8","Add the new joinee","Event_504","Office365users/Microsoftforms","Office365users"
7,"Recording_108","Process_42",1645095475,"2","Populate text field in window","Edit 'First name' in Window 'Microsoft  ...  - Microsoft​ Edge' 3; Text:'Krutik'","msedge","Microsoft 365 admin center - Active users and 1 more page - [InPrivate] - Microsoft​ Edge","[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Microsoft  ...  - Microsoft\u200b Edge\\' 3']['Edit \\'First name\\''] Text: 'Krutik' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]","9","Add the new joinee","Event_504","Office365users/Microsoftforms","Office365users"
8,"Recording_108","Process_42",1645095477,"3","Click UI element in window","Edit 'Last name' in Window 'Microsoft  ...  - Microsoft​ Edge' 3","msedge","Microsoft 365 admin center - Active users and 1 more page - [InPrivate] - Microsoft​ Edge","[""UIAutomation.Click Element: appmask['Window \\'Microsoft  ...  - Microsoft\u200b Edge\\' 3']['Edit \\'Last name\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 61 OffsetY: 4 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]","10","Add the new joinee","Event_504","Office365users/Microsoftforms","Office365users"
9,"Recording_108","Process_42",1645095480,"3","Populate text field in window","Edit 'Last name' 2 in Window 'Microsoft  ...  - Microsoft​ Edge' 3; Text:'Nath'","msedge","Microsoft 365 admin center - Active users and 1 more page - [InPrivate] - Microsoft​ Edge","[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Microsoft  ...  - Microsoft\u200b Edge\\' 3']['Edit \\'Last name\\' 2'] Text: 'Nath' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]","11","Add the new joinee","Event_504","Office365users/Microsoftforms","Office365users"
