"StepId","RecordingId","ProcessId","TimeStamp","DurationSec","StepName","StepDescription","ApplicationProcessName","ApplicationParentWindowName","AutomationStep","NextStepId","label_EventName","label_EventId","Process_Name","Connectors"
0,"Recording_29","Process_7","2022-02-22T03:48:32",2,"Select menu option in window","Microsoft Edge (2) - 2 running windows in Quick Launch Bar","","","[""UIAutomation.SelectMenuOption Control: appmask['Quick Launch Bar']['Microsoft Edge (2) - 2 running windows']\n""]",2,"Open the company AD","Event_133","Office365users/googlecalendar/onedrive","Office365users"
1,"Recording_29","Process_7","2022-02-22T03:48:34",12,"Click UI element in window","List Item 'New tab  ...  - Microsoft​ Edge' in List 'Task Switcher'","","Task Switcher","[""UIAutomation.Click Element: appmask['List \\'Task Switcher\\'']['List Item \\'New tab  ...  - Microsoft\u200b Edge\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 48 OffsetY: -46 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomLeft\n""]",3,"Open the company AD","Event_133","Office365users/googlecalendar/onedrive","Office365users"
2,"Recording_29","Process_7","2022-02-22T03:48:46",1,"Populate text field in window","Edit 'Address and search bar' in Window 'New tab and  ...  - Microsoft​ Edge'; Text:'admin.microsoft.com'","msedge","New tab and 1 more page - [InPrivate] - Microsoft​ Edge","[""UIAutomation.PopulateTextField TextField: appmask['Window \\'New tab and  ...  - Microsoft\u200b Edge\\'']['Edit \\'Address and search bar\\''] Text: 'admin.microsoft.com' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",4,"Open the company AD","Event_133","Office365users/googlecalendar/onedrive","Office365users"
3,"Recording_29","Process_7","2022-02-22T03:48:47",6,"Send keys","TextToSend:'{Return}'","","","['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]",5,"Open the company AD","Event_133","Office365users/googlecalendar/onedrive","Office365users"
4,"Recording_29","Process_7","2022-02-22T03:48:53",3,"Select menu option in window","Menu Item 'Users' in Window 'Microsoft  ...  - Microsoft​ Edge'","msedge","Microsoft 365 admin center and 1 more page - [InPrivate] - Microsoft​ Edge","[""UIAutomation.SelectMenuOption Control: appmask['Window \\'Microsoft  ...  - Microsoft\u200b Edge\\'']['Menu Item \\'Users\\'']\n""]",6,"Search for the employee profile who is on leave","Event_134","Office365users/googlecalendar/onedrive","Office365users"
5,"Recording_29","Process_7","2022-02-22T03:48:56",6,"Select menu option in window","Menu Item 'Active users' in Window 'Microsoft  ...  - Microsoft​ Edge' 2","msedge","Microsoft 365 admin center - Home and 1 more page - [InPrivate] - Microsoft​ Edge","[""UIAutomation.SelectMenuOption Control: appmask['Window \\'Microsoft  ...  - Microsoft\u200b Edge\\' 2']['Menu Item \\'Active users\\'']\n""]",7,"Search for the employee profile who is on leave","Event_134","Office365users/googlecalendar/onedrive","Office365users"
6,"Recording_29","Process_7","2022-02-22T03:49:02",2,"Click UI element in window","Edit 'Enter to search active users list' in Window 'Microsoft  ...  - Microsoft​ Edge' 3","msedge","Microsoft 365 admin center - Active users and 1 more page - [InPrivate] - Microsoft​ Edge","[""UIAutomation.Click Element: appmask['Window \\'Microsoft  ...  - Microsoft\u200b Edge\\' 3']['Edit \\'Enter to search active users list\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 12 OffsetY: 1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",8,"Search for the employee profile who is on leave","Event_134","Office365users/googlecalendar/onedrive","Office365users"
7,"Recording_29","Process_7","2022-02-22T03:49:04",3,"Populate text field in window","Edit 'Enter to search active users list' 2 in Window 'Microsoft  ...  - Microsoft​ Edge' 3; Text:'Name'","msedge","Microsoft 365 admin center - Active users and 1 more page - [InPrivate] - Microsoft​ Edge","[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Microsoft  ...  - Microsoft\u200b Edge\\' 3']['Edit \\'Enter to search active users list\\' 2'] Text: 'Name' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",9,"Search for the employee profile who is on leave","Event_134","Office365users/googlecalendar/onedrive","Office365users"
8,"Recording_29","Process_7","2022-02-22T03:49:07",6,"Send keys","TextToSend:'{Return}'","","","['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]",10,"Search for the employee profile who is on leave","Event_134","Office365users/googlecalendar/onedrive","Office365users"
9,"Recording_29","Process_7","2022-02-22T03:49:13",8,"Click UI element in window","Data Item 'Name Surname  ...  user More actions' in Window 'Microsoft  ...  - Microsoft​ Edge' 3","msedge","Microsoft 365 admin center - Active users and 1 more page - [InPrivate] - Microsoft​ Edge","[""UIAutomation.Click Element: appmask['Window \\'Microsoft  ...  - Microsoft\u200b Edge\\' 3']['Data Item \\'Name Surname  ...  user More actions\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 59 OffsetY: 1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",11,"Search for the employee profile who is on leave","Event_134","Office365users/googlecalendar/onedrive","Office365users"
