"StepId","RecordingId","ProcessId","TimeStamp","DurationSec","StepName","StepDescription","ApplicationProcessName","ApplicationParentWindowName","AutomationStep","NextStepId","label_EventName","label_EventId","Process_Name","Connectors"
0,"Recording_96","Process_37",1645071684,"3","Press button in window","Firefox - 1 running window in Quick Launch Bar","","","[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['Firefox - 1 running window']\n""]","2","Open the spreadsheet having the monthly performance details","Event_447","excelonlinebusiness/wordonlinebusiness",""
1,"Recording_96","Process_37",1645071687,"3","Press button in window","Button 'Open a new tab (Ctrl+T)' in Window 'Process advisor | Power Automate — Mozilla Firefox'","firefox","Process advisor | Power Automate — Mozilla Firefox","[""UIAutomation.PressButton Button: appmask['Window \\'Process advisor | Power Automate — Mozilla Firefox\\'']['Button \\'Open a new tab (Ctrl+T)\\'']\n""]","3","Open the spreadsheet having the monthly performance details","Event_447","excelonlinebusiness/wordonlinebusiness",""
2,"Recording_96","Process_37",1645071690,"5","Drag and drop UI element in window","Edit 'Search with Google or enter address' in Window 'Mozilla Firefox'","firefox","Mozilla Firefox","[""UIAutomation.DragAndDropElement MouseDownOffsetY: -2 MouseDownOffsetX: 23 RectangleEdgePointForMouseDown: UIAutomation.RectangleEdgePoint.MiddleLeft ControlToDrag: appmask['Window \\'Mozilla Firefox\\'']['Edit \\'Search with Google or enter address\\''] MouseUpOffsetY: -2 MouseUpOffsetX: 30 RectangleEdgePointForMouseUp: UIAutomation.RectangleEdgePoint.MiddleLeft ControlToDropOver: appmask['Window \\'Mozilla Firefox\\'']['Edit \\'Search with Google or enter address\\''] ClickType: UIAutomation.DragAndDropClickType.LeftClick\n""]","4","Open the spreadsheet having the monthly performance details","Event_447","excelonlinebusiness/wordonlinebusiness",""
3,"Recording_96","Process_37",1645071695,"1","Populate text field in window","Edit 'Search with Google or enter address' in Window 'Mozilla Firefox'; Text:'o365'","firefox","Mozilla Firefox","[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Mozilla Firefox\\'']['Edit \\'Search with Google or enter address\\''] Text: 'o365' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]","5","Open the spreadsheet having the monthly performance details","Event_447","excelonlinebusiness/wordonlinebusiness",""
4,"Recording_96","Process_37",1645071696,"4","Send keys","TextToSend:'{Return}'","","","['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]","6","Open the spreadsheet having the monthly performance details","Event_447","excelonlinebusiness/wordonlinebusiness",""
5,"Recording_96","Process_37",1645071700,"6","Click UI element in window","Hyperlink 'Office  ... office.com' in Window 'o365 - Google Search — Mozilla Firefox'","firefox","o365 - Google Search — Mozilla Firefox","[""UIAutomation.Click Element: appmask['Window \\'o365 - Google Search — Mozilla Firefox\\'']['Hyperlink \\'Office  ... office.com\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 42 OffsetY: -2 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]","7","Open the spreadsheet having the monthly performance details","Event_447","excelonlinebusiness/wordonlinebusiness",""
6,"Recording_96","Process_37",1645071706,"8","Click UI element in window","Hyperlink 'SharePoint' in Window 'Microsoft Office Home — Mozilla Firefox'","firefox","Microsoft Office Home — Mozilla Firefox","[""UIAutomation.Click Element: appmask['Window \\'Microsoft Office Home — Mozilla Firefox\\'']['Hyperlink \\'SharePoint\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -9 OffsetY: -6 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleRight\n""]","8","Open the spreadsheet having the monthly performance details","Event_447","excelonlinebusiness/wordonlinebusiness",""
7,"Recording_96","Process_37",1645071714,"14","Click UI element in window","Hyperlink 'Site Project RoadMap.' in Window 'SharePoint — Mozilla Firefox'","firefox","SharePoint — Mozilla Firefox","[""UIAutomation.Click Element: appmask['Window \\'SharePoint — Mozilla Firefox\\'']['Hyperlink \\'Site Project RoadMap.\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -16 OffsetY: -18 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]","9","Open the spreadsheet having the monthly performance details","Event_447","excelonlinebusiness/wordonlinebusiness",""
8,"Recording_96","Process_37",1645071728,"13","Click UI element in window","Hyperlink 'Shared  ...  than a minute ago' in Window 'Project RoadMap - Home — Mozilla Firefox'","firefox","Project RoadMap - Home — Mozilla Firefox","[""UIAutomation.Click Element: appmask['Window \\'Project RoadMap - Home — Mozilla Firefox\\'']['Hyperlink \\'Shared  ...  than a minute ago\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -6 OffsetY: -4 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]","10","Open the spreadsheet having the monthly performance details","Event_447","excelonlinebusiness/wordonlinebusiness",""
9,"Recording_96","Process_37",1645071741,"5","Select tab in window","Tab Item 'New Tab' in Window 'Mozilla Firefox'","firefox","Mozilla Firefox","[""UIAutomation.SelectTab Tab: appmask['Window \\'Mozilla Firefox\\'']['Tab Item \\'New Tab\\'']\n""]","11","Login to cloud storage","Event_448","excelonlinebusiness/wordonlinebusiness",""
