"StepId","RecordingId","ProcessId","TimeStamp","DurationSec","StepName","StepDescription","ApplicationProcessName","ApplicationParentWindowName","AutomationStep","NextStepId","label_EventName","label_EventId","Process_Name","Connectors"
0,"Recording_52","Process_22","2022-03-03T05:16:18",0,"Comment","# Start of autogenerated actions using the recorder","","","[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['Microsoft Teams - 1 running window']\n""]",2,"Login to the approval request tool ","Event_255","onedriveforbusiness/approvals/uiflow",NA
1,"Recording_52","Process_22","2022-03-03T05:16:18",3,"Press button in window","Microsoft Teams - 1 running window in Quick Launch Bar","","","[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['Microsoft Teams - 1 running window']\n""]",3,"Login to the approval request tool ","Event_255","onedriveforbusiness/approvals/uiflow",NA
2,"Recording_52","Process_22","2022-03-03T05:16:21",4,"Press button in window","Button 'Approvals Toolbar' in Pane 'General  ...  Teams, Main Window'","Teams","General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomation.PressButton Button: appmask['Pane \\'General  ...  Teams, Main Window\\'']['Button \\'Approvals Toolbar\\'']\n""]",4,"Login to the approval request tool ","Event_255","onedriveforbusiness/approvals/uiflow",NA
3,"Recording_52","Process_22","2022-03-03T05:16:25",4,"Select tab in window","Tab Item 'Sent' in Pane 'General  ...  Teams, Main Window'","Teams","General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomation.SelectTab Tab: appmask['Pane \\'General  ...  Teams, Main Window\\'']['Tab Item \\'Sent\\'']\n""]",5,"Verify the approval request","Event_256","onedriveforbusiness/approvals/uiflow",NA
4,"Recording_52","Process_22","2022-03-03T05:16:29",8,"Click UI element in window","Data Item 'Can I schedule a new automate flow?' in Pane 'General  ...  Teams, Main Window'","Teams","General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomation.Click Element: appmask['Pane \\'General  ...  Teams, Main Window\\'']['Data Item \\'Can I schedule a new automate flow?\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 22 OffsetY: -3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",6,"Verify the approval request","Event_256","onedriveforbusiness/approvals/uiflow",NA
5,"Recording_52","Process_22","2022-03-03T05:16:37",7,"Click UI element in window","Group in Pane 'General  ...  Teams, Main Window'","Teams","General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomation.Click Element: appmask['Pane \\'General  ...  Teams, Main Window\\'']['Group'] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -175 OffsetY: 15 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopRight\n""]",7,"Verify the approval request","Event_256","onedriveforbusiness/approvals/uiflow",NA
6,"Recording_52","Process_22","2022-03-03T05:16:44",3,"Select menu option in window","Firefox - 2 running windows in Quick Launch Bar","","","[""UIAutomation.SelectMenuOption Control: appmask['Quick Launch Bar']['Firefox - 2 running windows']\n""]",8,"Go to the cloud storage","Event_257","onedriveforbusiness/approvals/uiflow",NA
7,"Recording_52","Process_22","2022-03-03T05:16:47",5,"Click UI element in window","List Item 'Mozilla Firefox' in List 'Task Switcher'","","Task Switcher","[""UIAutomation.Click Element: appmask['List \\'Task Switcher\\'']['List Item \\'Mozilla Firefox\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -13 OffsetY: 21 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleRight\n""]",9,"Go to the cloud storage","Event_257","onedriveforbusiness/approvals/uiflow",NA
8,"Recording_52","Process_22","2022-03-03T05:16:52",0,"Populate text field in window","Edit 'Search with Google or enter address' in Window 'Mozilla Firefox'; Text:'o365'","firefox","Mozilla Firefox","[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Mozilla Firefox\\'']['Edit \\'Search with Google or enter address\\''] Text: 'o365' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n"", 'WAIT 2\n', ""MouseAndKeyboard.SendKeys.FocusAndSendKeys TextToSend: '{Return}'\n""]",10,"Go to the cloud storage","Event_257","onedriveforbusiness/approvals/uiflow",NA
9,"Recording_52","Process_22","2022-03-03T05:16:52",5,"MouseAndKeyboard.SendKeys.FocusAndSendKeys","TextToSend:'{Return}'","","","[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Mozilla Firefox\\'']['Edit \\'Search with Google or enter address\\''] Text: 'o365' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n"", 'WAIT 2\n', ""MouseAndKeyboard.SendKeys.FocusAndSendKeys TextToSend: '{Return}'\n""]",11,"Go to the cloud storage","Event_257","onedriveforbusiness/approvals/uiflow",NA
