"StepId","RecordingId","ProcessId","TimeStamp","DurationSec","StepName","StepDescription","ApplicationProcessName","ApplicationParentWindowName","AutomationStep","NextStepId","label_EventName","label_EventId","Process_Name","Connectors"
0,"Recording_103","Process_40",1645088129,"4","Select menu option in window","Microsoft Edge (2) - 2 running windows in Quick Launch Bar","","","[""UIAutomation.SelectMenuOption Control: appmask['Quick Launch Bar']['Microsoft Edge (2) - 2 running windows']\n""]","2","Go to the business analytic tool","Event_479","powerbi/outlook","Powerbi"
1,"Recording_103","Process_40",1645088133,"3","Click UI element in window","List Item 'office  ...  - Microsoft​ Edge' in List 'Task Switcher'","","Task Switcher","[""UIAutomation.Click Element: appmask['List \\'Task Switcher\\'']['List Item \\'office  ...  - Microsoft\u200b Edge\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 46 OffsetY: 13 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]","3","Go to the business analytic tool","Event_479","powerbi/outlook","Powerbi"
2,"Recording_103","Process_40",1645088136,"5","Press button in window","Button 'New Tab' in Window 'office 365 -  ...  - Microsoft​ Edge'","msedge","office 365 - Search - [InPrivate] - Microsoft​ Edge","[""UIAutomation.PressButton Button: appmask['Window \\'office 365 -  ...  - Microsoft\u200b Edge\\'']['Button \\'New Tab\\'']\n""]","4","Go to the business analytic tool","Event_479","powerbi/outlook","Outlook"
3,"Recording_103","Process_40",1645088141,"1","Populate text field in window","Edit 'Address and search bar' in Window 'New tab and  ...  - Microsoft​ Edge'; Text:'powerbi'","msedge","New tab and 1 more page - [InPrivate] - Microsoft​ Edge","[""UIAutomation.PopulateTextField TextField: appmask['Window \\'New tab and  ...  - Microsoft\u200b Edge\\'']['Edit \\'Address and search bar\\''] Text: 'powerbi' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]","5","Go to the business analytic tool","Event_479","powerbi/outlook","Powerbi"
4,"Recording_103","Process_40",1645088142,"6","Send keys","TextToSend:'{Return}'","","","['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]","6","Go to the business analytic tool","Event_479","powerbi/outlook","Powerbi"
5,"Recording_103","Process_40",1645088148,"5","Click UI element in window","Hyperlink 'Data Visualization | Microsoft Power BI' in Window 'powerbi -  ...  - Microsoft​ Edge'","msedge","powerbi - Search and 1 more page - [InPrivate] - Microsoft​ Edge","[""UIAutomation.Click Element: appmask['Window \\'powerbi -  ...  - Microsoft\u200b Edge\\'']['Hyperlink \\'Data Visualization | Microsoft Power BI\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -8 OffsetY: -2 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]","7","Go to the business analytic tool","Event_479","powerbi/outlook","Powerbi"
6,"Recording_103","Process_40",1645088153,"8","Click UI element in window","Hyperlink 'Redirects to Power B I product site' in Window 'Data  ...  - Microsoft​ Edge'","msedge","Data Visualization | Microsoft Power BI and 2 more pages - [InPrivate] - Microsoft​ Edge","[""UIAutomation.Click Element: appmask['Window \\'Data  ...  - Microsoft\u200b Edge\\'']['Hyperlink \\'Redirects to Power B I product site\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 1 OffsetY: 3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]","8","Go to the business analytic tool","Event_479","powerbi/outlook","Powerbi"
7,"Recording_103","Process_40",1645088161,"3","Click UI element in window","Group 'ng-tns-c402-7 ng-star-inserted' in Window 'Power BI and  ...  - Microsoft​ Edge'","msedge","Power BI and 3 more pages - [InPrivate] - Microsoft​ Edge","[""UIAutomation.Click Element: appmask['Window \\'Power BI and  ...  - Microsoft\u200b Edge\\'']['Group \\'ng-tns-c402-7 ng-star-inserted\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 23 OffsetY: -1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]","9"," Find the scatter plot created in business analytic tool","Event_480","powerbi/outlook","Powerbi"
8,"Recording_103","Process_40",1645088164,"2","Send keys","TextToSend:'p'","","","['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: 'p'\n""]","10"," Find the scatter plot created in business analytic tool","Event_480","powerbi/outlook","Powerbi"
9,"Recording_103","Process_40",1645088166,"10","Click UI element in window","Edit 'Search' in Window 'Power BI and  ...  - Microsoft​ Edge'","msedge","Power BI and 3 more pages - [InPrivate] - Microsoft​ Edge","[""UIAutomation.Click Element: appmask['Window \\'Power BI and  ...  - Microsoft\u200b Edge\\'']['Edit \\'Search\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -11 OffsetY: -1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]","11"," Find the scatter plot created in business analytic tool","Event_480","powerbi/outlook","Powerbi"
